uri,count(*)
http://acm.rkbexplorer.com/ontologies/acm#B.7.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.2.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.2.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.2.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.2.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.2.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.3.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.3.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.3.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.3.3,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.3.4,27
http://acm.rkbexplorer.com/ontologies/acm#B.7.m,27
http://acm.rkbexplorer.com/ontologies/acm#B.8,27
http://acm.rkbexplorer.com/ontologies/acm#B.8.0,27
http://acm.rkbexplorer.com/ontologies/acm#B.8.1,27
http://acm.rkbexplorer.com/ontologies/acm#B.8.2,27
http://acm.rkbexplorer.com/ontologies/acm#B.8.m,27
http://acm.rkbexplorer.com/ontologies/acm#B.m,27
http://acm.rkbexplorer.com/ontologies/acm#B.m.0,27
http://acm.rkbexplorer.com/ontologies/acm#C,27
http://acm.rkbexplorer.com/ontologies/acm#C.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.0.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.0.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.0.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.0.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.0.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.1.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.1.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.1.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.1.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.1.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.2.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.2.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.2.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.2.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.2.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.2.5,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.2.6,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.2.7,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3.5,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3.6,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3.7,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3.8,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.3.9,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.4.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.4.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.m,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.m.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.1.m.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.0.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.0.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.0.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.10,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.5,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.6,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.7,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.8,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.1.9,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.2.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.2.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.2.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.2.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.3.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.3.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.3.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.4.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.4.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.4.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.4.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.5,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.5.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.5.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.5.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.5.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.5.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.5.5,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.6,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.6.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.6.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.2.m,27
http://acm.rkbexplorer.com/ontologies/acm#C.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.3.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.3.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.3.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.3.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.3.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.4.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.4.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.4.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.4.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.4.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.4.5,27
http://acm.rkbexplorer.com/ontologies/acm#C.5,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.1.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.3.0,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.3.1,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.3.2,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.3.3,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.4,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.5,27
http://acm.rkbexplorer.com/ontologies/acm#C.5.m,27
http://acm.rkbexplorer.com/ontologies/acm#C.m,27
http://acm.rkbexplorer.com/ontologies/acm#D,27
http://acm.rkbexplorer.com/ontologies/acm#D.0,27
http://acm.rkbexplorer.com/ontologies/acm#D.1,27
http://acm.rkbexplorer.com/ontologies/acm#D.1.0,27
http://acm.rkbexplorer.com/ontologies/acm#D.1.1,27
http://acm.rkbexplorer.com/ontologies/acm#D.1.2,27
http://acm.rkbexplorer.com/ontologies/acm#D.1.2.0,27
http://acm.rkbexplorer.com/ontologies/acm#D.1.2.1,27
http://acm.rkbexplorer.com/ontologies/acm#D.1.4,27
http://acm.rkbexplorer.com/ontologies/acm#D.1.5,27
http://acm.rkbexplorer.com/ontologies/acm#D.1.6,27
http://acm.rkbexplorer.com/ontologies/acm#D.1.7,27
http://acm.rkbexplorer.com/ontologies/acm#D.1.m,27
http://acm.rkbexplorer.com/ontologies/acm#D.2,27
http://acm.rkbexplorer.com/ontologies/acm#D.2.0,27
http://acm.rkbexplorer.com/ontologies/acm#D.2.0.0,27
http://acm.rkbexplorer.com/ontologies/acm#D.2.0.1,27
http://acm.rkbexplorer.com/ontologies/acm#D.2.1,27
http://acm.rkbexplorer.com/ontologies/acm#D.2.1.0,27
http://acm.rkbexplorer.com/ontologies/acm#D.2.1.1,27
http://acm.rkbexplorer.com/ontologies/acm#D.2.1.2,27
http://acm.rkbexplorer.com/ontologies/acm#D.2.1.3,27
